Rank,Particle Size (nm),Release Rate (1/h),Predicted Tumor Reduction (%),Drug Diffusion (m^2/s),NP Diffusion (m^2/s),Uptake Rate (1/h),Drug Loading,Tumor Growth Rate (1/h),Drug Efficacy
1,70.9174046786563,0.186779029683263,94.9978256225586,1.2999709409600007e-09,7.1444810852729265e-09,0.0442285415517468,0.2848145620990091,0.0188463297937061,0.822894763236613
2,189.1901392567258,0.1741603782817762,94.74676513671876,4.572153686034111e-09,9.394683514338593e-09,0.076952031099722,0.9342750696858344,0.0205603956102808,0.8994636571984111
3,133.16895499859947,0.1995613481323375,94.4877700805664,3.836178536909381e-09,1.5426256411604501e-09,0.0656187508829383,0.5515057860543955,0.0248451022621092,0.9340097614415988
4,140.6260169296578,0.1461468518737211,94.2312469482422,9.302513899865512e-09,3.1701882010041837e-09,0.0794822643907533,0.9805596821890044,0.0107270593267584,0.9665660505862724
5,157.71878829957592,0.1201204205010804,93.97615814208984,8.135314703479427e-09,2.085249746006777e-09,0.0634767161287831,0.9567463452662888,0.0106121818120997,0.9793661042816244
6,96.86323311151232,0.0973028912755928,93.70757293701172,5.415827185840381e-09,3.7300147384005926e-09,0.0922920704675623,0.6114002582235261,0.0116660819609053,0.7788361770601642
7,135.66741528082383,0.1480517021812617,93.45222473144533,6.891390697680953e-09,1.8625851927962935e-09,0.0942486820597494,0.6808402516283529,0.0178452007857113,0.7756806986988745
8,104.48290854600484,0.0759696371743639,93.19815063476562,6.9886217453979235e-09,5.933534451481095e-09,0.0348764346181381,0.7221944736795254,0.0153449654801158,0.902085763361431
9,154.65657603730466,0.1705975772585794,92.9225082397461,3.573936452824658e-09,1.2391145754744415e-09,0.0262387940042983,0.3917862018098586,0.0131689916712291,0.656603578299809
10,72.27546669803583,0.1123198591962515,92.66888427734376,1.6415177184552252e-09,5.112133165819849e-10,0.0299146723434958,0.655049651910689,0.0103072680004499,0.6702710184975924
