rank,particle_size_nm,release_rate,predicted_tumor_reduction_percent,drug_diffusion,nanoparticle_diffusion,uptake_rate,drug_loading,tumor_growth_rate,drug_efficacy
1,70.9174046786563,0.18677902968326307,94.9978256225586,1.2999709409600009e-09,7.1444810852729265e-09,0.044228541551746874,0.2848145620990091,0.018846329793706134,0.822894763236613
2,189.1901392567258,0.17416037828177622,94.74676513671875,4.572153686034111e-09,9.394683514338593e-09,0.07695203109972208,0.9342750696858344,0.020560395610280814,0.8994636571984111
3,133.16895499859947,0.1995613481323375,94.4877700805664,3.83617853690938e-09,1.54262564116045e-09,0.06561875088293831,0.5515057860543955,0.024845102262109266,0.9340097614415988
4,140.6260169296578,0.14614685187372115,94.23124694824219,9.302513899865512e-09,3.1701882010041837e-09,0.07948226439075338,0.9805596821890044,0.010727059326758428,0.9665660505862723
5,157.71878829957592,0.12012042050108042,93.97615814208984,8.135314703479427e-09,2.085249746006777e-09,0.0634767161287831,0.9567463452662888,0.0106121818120997,0.9793661042816244
6,96.86323311151232,0.09730289127559287,93.70757293701172,5.41582718584038e-09,3.7300147384005926e-09,0.09229207046756231,0.6114002582235261,0.011666081960905319,0.7788361770601642
7,135.66741528082383,0.14805170218126176,93.45222473144531,6.8913906976809544e-09,1.8625851927962937e-09,0.09424868205974948,0.6808402516283529,0.017845200785711356,0.7756806986988745
8,104.48290854600484,0.07596963717436393,93.19815063476562,6.988621745397923e-09,5.933534451481095e-09,0.03487643461813814,0.7221944736795254,0.01534496548011588,0.902085763361431
9,154.65657603730466,0.17059757725857946,92.9225082397461,3.5739364528246583e-09,1.2391145754744415e-09,0.02623879400429835,0.3917862018098586,0.013168991671229162,0.656603578299809
10,72.27546669803583,0.1123198591962515,92.66888427734375,1.6415177184552254e-09,5.112133165819849e-10,0.02991467234349582,0.655049651910689,0.01030726800044997,0.6702710184975924
