Test Sample,Release Rate (1/h),Drug Loading (fraction),Release-Rate SHAP Value
15,0.03413809812099999,0.29279728379,-23.677412033081055
22,0.01859008907869998,0.899289253719,-54.85017395019531
32,0.010423699393199995,0.89109605586,-57.95214080810547
47,0.0328307820748,0.726100943318,-30.352882385253906
50,0.028360666740299995,0.59766990601,-43.2813606262207
51,0.015304588766400007,0.227792278279,-44.26276779174805
53,0.0257998524597,0.716012220577,-39.127159118652344
54,0.0480973700117,0.956194660162,-18.37419891357422
60,0.02121211441960001,0.626380813833,-36.88068389892578
82,0.04522193304409999,0.46350503212,-15.757392883300781
83,0.0311007615942,0.865851348788,-30.06394386291504
91,0.015483631604399986,0.904775311444,-54.15281295776367
93,0.029445980876900008,0.790289664441,-30.69903564453125
98,0.0398884689092,0.9573305135979999,-32.24240493774414
101,0.0202989000513,0.639352981253,-42.57070541381836
115,0.013106012729500016,0.970070045524,-49.381919860839844
117,0.03157724616810001,0.964682222834,-30.057289123535156
149,0.018790291624400005,0.34254355373800005,-40.23075485229492
162,0.0470226924096,0.787747551959,-18.254613876342773
172,0.03437018058050001,0.21244660370400004,-28.13129234313965
181,0.03589632613060001,0.2532761804559999,-25.98851776123047
193,0.0410110640458,0.288667030749,-18.945314407348633
